%eval_id interface log__t_efold_soil log__t_efold_karst log__t_efold_deep f_exfiltration_soil f_exfiltration_karst PDD_melt_factor log__fdd_threshold snow_insulation_k recession_b_karst et_scale       neg_kge        
143      I1         1.094910471    3.295103189    3.561492696    0.3534372038   0.4387943063   4.801508251    1.983086052    0.06211122234  4.329725157    0.5913070894   0.8838420915   
144      I1         1.762583374    3.468506529    4.001078749    0.1033801179   0.7943040718   4.166339747    1.038490201    0.07753047142  1.917025644    0.8955732123   0.7164360147   
145      I1         1.168907969    4.114596837    4.871629654    0.1134234945   0.10346091     8.370357904    1.001682807    0.0871281042   3.11530867     1.510834324    1.018436814    
146      I1         2.581864559    4.150026687    4.13313467     0.07083899011  0.3331156004   5.870925088    1.831177562    0.005664626123 5.65305641     1.853491659    1.191538282    
147      I1         1.321814661    4.229627726    4.93669399     0.5316747404   0.2644768829   1.544169539    2.792727183    0.1359262448   4.26657566     1.094433784    0.5777039492   
148      I1         1.950014581    4.268194883    4.510456334    0.8700867974   0.3073840553   3.289680331    2.583776224    0.1039694753   2.283070098    1.311015598    0.7408994649   
149      I1         1.173719663    3.043160622    3.967477215    0.8583340564   0.5517586627   1.905774743    1.735634008    0.0540823755   2.528732044    0.9040964973   0.5038492347   
150      I1         1.08303467     3.754640545    3.605836802    0.7599331456   0.07719894133  4.410688445    1.029585083    0.06416595714  5.903267766    1.40900444     0.4412437375   
151      I1         2.318362611    3.435141085    3.893108868    0.6112363957   0.2317561964   6.52304944     0.2672086657   0.09432899781  5.169619562    1.956938673    1.074688543    
152      I1         1.076284249    4.162871325    4.146921329    0.05106478175  0.3985872561   1.040583558    1.076951973    0.004430687288 2.910538595    0.6772804497   0.8231259511   
153      I1         2.484835303    2.812355381    3.756404799    0.3027917464   0.1849948652   4.894030408    1.186216058    0.04231149244  2.777990971    0.9463007965   0.6569541869   
154      I1         2.557817526    3.281416285    4.014958333    0.8847277457   0.04071712417  0.4714102173   1.097941292    0.08782759265  5.732016843    0.7524440821   0.4251835036   
155      I1         1.023708873    3.696095569    4.164323104    0.3513967573   0.5233939486   8.449250233    1.291651612    0.07574760212  5.768707337    0.7823281811   0.6253027605   
156      I1         2.576269462    4.084743197    4.137498926    0.8970061838   0.8435021733   3.745943433    0.8317494882   0.09689002209  3.102132179    1.240316263    0.8093910509   
157      I1         2.483188645    3.34712382     4.970312518    0.2749906241   0.6084285145   3.465457878    2.428998184    0.005450755143 5.963412873    1.580760097    1.521573407    
158      I1         1.792924469    3.685852099    4.247393474    0.2212320219   0.05394717492  3.042521913    2.857293454    0.1271908647   2.170858041    0.6252780878   0.7610996361   
159      I1         1.315844146    3.361637589    4.182054792    0.5617577824   0.320086903    8.49266892     0.1868876457   0.08232010274  5.274816753    1.737067563    0.5356654703   
160      I1         1.15525955     3.575342183    3.791413702    0.8202279181   0.7065786773   9.082364385    1.374682286    0.1026856449   2.72012649     1.102855879    0.3544808623   
161      I1         2.104016156    2.731863508    4.673708299    0.8944457742   0.4326145925   3.411606954    1.457601475    0.1283767536   4.096633239    1.975647042    1.24397789     
162      I1         1.326381695    2.561105748    4.825199887    0.1752551528   0.7898699603   3.661604156    1.583885767    0.0006085640086 4.094198363    1.964069829    0.8375016839   
163      I1         1.715064302    3.798781944    3.849085841    0.5665403297   0.182428131    6.399624598    1.142120043    0.08990175059  4.068377911    0.5456631143   0.8923464547   
164      I1         1.83489634     3.520394664    3.841652917    0.1822568941   0.06335144982  7.375963574    1.953344194    0.09028875143  4.444542227    1.068632109    0.7935287987   
165      I1         1.472482956    3.772903279    3.723050679    0.5112211774   0.01337837752  4.78116836     2.138940596    0.04458410244  1.633465233    1.858878523    0.7218823695   
166      I1         1.807474017    3.099470384    4.75410312     0.4832078674   0.3931840479   3.251303546    1.811241974    0.01686713527  3.145733948    0.9810559809   0.4537547331   
167      I1         2.633004722    2.549476557    3.62460696     0.4583877322   0.4827215116   4.124835472    2.069716827    0.06719876457  5.455639016    1.301661953    1.104332576    
168      I1         1.712847891    3.633560877    3.78889101     0.1339867501   0.4473012554   9.990094479    2.035511573    0.07509980373  4.350039323    0.5395948334   1.107069351    
